"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'CIF (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'CIF (Baht)')"
AT,AUSTRIA,0,0,2750,207213
BE,BELGIUM,77,43197,77,43197
JP,JAPAN,20,12332,20,12332
KR,"KOREA,REPUBLIC OF",0,0,22000,989616
NL,NETHERLANDS,25,8055,25,8055
QA,QATAR,0,0,76500,3176243
SA,SAUDI ARABIA,49500,2119979,81500,3441862
SK,SLOVAKIA,5,3733,5,3733
US,UNITED STATES,77950,4004102,77950,4004102
SUM,SUM,127577,6191398,260827,11886353
