"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'CIF (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,400,118151
AT,AUSTRIA,24,32717,682,745929
BE,BELGIUM,200,120114,2424,554736
BR,BRAZIL,382,137944,764,272497
CA,CANADA,2500,343763,10058,1953838
CN,CHINA,165650,9478139,700823,36392405
FR,FRANCE,27499,2441401,177466,13299266
DE,GERMANY,950,218528,27898,7190862
IN,INDIA,46670,2530827,117020,6993614
ID,INDONESIA,75,11109,24225,2298533
IT,ITALY,0,0,2892,377996
JP,JAPAN,202029,40849129,1158800,176681100
KR,"KOREA,REPUBLIC OF",197580,11878099,1197306,69498774
LU,LUXEMBOURG,0,0,20,13769
MY,MALAYSIA,287526,18953963,704808,59919857
NL,NETHERLANDS,60002,5077651,492462,43221436
NZ,NEW ZEALAND,0,0,220,174581
SA,SAUDI ARABIA,537000,20947347,2709950,105909877
SG,SINGAPORE,37989,5586790,328044,42471911
ES,SPAIN,10725,944216,31960,2863465
CH,SWITZERLAND,1100,783338,1100,784310
TW,"TAIWAN, PROVINCE OF CHINA",60060,4519013,527972,27030637
GB,UNITED KINGDOM,12700,1709353,26293,3442287
US,UNITED STATES,123815,18869371,839664,147022295
VN,VIETNAM,10000,801671,43821,3614982
SUM,SUM,1784476,146234483,9127072,752847108
