"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2013', 'Quantity')","('Mar 2013', 'CIF (Baht)')","('Jan - Mar 2013', 'Quantity')","('Jan - Mar 2013', 'CIF (Baht)')"
AU,AUSTRALIA,1250,81086,2500,163506
BE,BELGIUM,92250,5740129,275475,17908249
CN,CHINA,1230534,74725902,3530201,222556716
FI,FINLAND,19250,1248987,42625,2742345
FR,FRANCE,5000,536811,36037,2915732
DE,GERMANY,34750,3815913,106320,16762385
HK,HONG KONG,0,0,16864,986804
IN,INDIA,0,0,3475,146161
ID,INDONESIA,15900,2058849,39965,5209157
JP,JAPAN,1095915,80527137,3027043,238231941
KR,"KOREA,REPUBLIC OF",2566680,137026364,7403136,412729306
KW,KUWAIT,0,0,49500,2107363
MY,MALAYSIA,102635,14422569,357088,42199792
NL,NETHERLANDS,68500,5954710,217000,18626130
SA,SAUDI ARABIA,3950800,181816312,11010180,495484911
SG,SINGAPORE,2137731,114635152,4314765,235217614
ES,SPAIN,0,0,35750,4001456
CH,SWITZERLAND,100,472844,100,472844
TW,"TAIWAN, PROVINCE OF CHINA",254560,11280872,549285,28232505
AE,UNITED ARAB EMIRATES,50080,2374184,234330,10367183
US,UNITED STATES,128132,7661989,783647,42189376
VN,VIETNAM,1614,311950,3855,1061161
SUM,SUM,11755681,644691760,32039141,1800312637
