"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2013', 'Quantity')","('Feb 2013', 'CIF (Baht)')","('Jan - Feb 2013', 'Quantity')","('Jan - Feb 2013', 'CIF (Baht)')"
BE,BELGIUM,48000,4594790,48000,4594790
CN,CHINA,12000,776865,68000,5569515
FR,FRANCE,11000,923200,11000,923200
DE,GERMANY,0,0,15850,2856228
IT,ITALY,0,0,13750,2757378
JP,JAPAN,550,291079,550,291079
KR,"KOREA,REPUBLIC OF",20400,1644611,61200,5029466
MY,MALAYSIA,5500,878447,5500,878447
SG,SINGAPORE,306000,12815156,331500,13932723
SE,SWEDEN,2800,645419,2800,645419
CH,SWITZERLAND,0,1757,0,1757
AE,UNITED ARAB EMIRATES,78000,3601046,130000,6096627
US,UNITED STATES,41961,1931356,63513,3511872
VN,VIETNAM,1000,124251,1000,124251
SUM,SUM,527211,28227977,752663,47212752
