"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'CIF (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'CIF (Baht)')"
AU,AUSTRALIA,5000,236558,25130,850299
AT,AUSTRIA,450,133003,8860,1496605
BE,BELGIUM,13611,1333259,483866,42901178
BR,BRAZIL,0,0,300,64633
CA,CANADA,120,28330,21280,4716630
CN,CHINA,528262,17496593,4296852,181723887
EG,EGYPT,0,0,50,7550
FI,FINLAND,0,0,50,47265
FR,FRANCE,22825,2088418,104847,9917878
DE,GERMANY,21250,1830471,189045,17415010
HK,HONG KONG,21,4080,65,56846
IN,INDIA,2000,370468,119264,6542416
ID,INDONESIA,0,0,440,21620
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,83,57003
IL,ISRAEL,0,0,100,4404
IT,ITALY,50,24029,24802,7237747
JP,JAPAN,301297,33880341,2713057,333822681
KR,"KOREA,REPUBLIC OF",369460,18858303,2775662,135803633
LU,LUXEMBOURG,0,0,175,38999
MY,MALAYSIA,95750,3983840,765763,39847925
NL,NETHERLANDS,38,14312,310,124443
NZ,NEW ZEALAND,0,0,250,17740
QA,QATAR,204000,7673515,1938050,80161970
SA,SAUDI ARABIA,64250,2673164,1035075,44896869
SG,SINGAPORE,3128483,138048878,20235678,959525116
ZA,SOUTH AFRICA,0,0,0,16076
ES,SPAIN,5500,491534,65175,5273502
SE,SWEDEN,0,0,0,13047
CH,SWITZERLAND,1250,142372,1344,193535
TW,"TAIWAN, PROVINCE OF CHINA",23024,1791047,358959,27611799
TH,THAILAND,0,0,36088,2134607
TT,TRINIDAD AND TOBAGO,0,0,17277,208771
UA,UKRAINE,0,0,24400,1118207
AE,UNITED ARAB EMIRATES,247500,9551342,2114060,87984608
GB,UNITED KINGDOM,1000,363781,18400,4619924
US,UNITED STATES,235899,28274998,2456111,308965438
VN,VIETNAM,0,0,647,97905
SUM,SUM,5271040,269292636,39831515,2305537766
