"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'CIF (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'CIF (Baht)')"
CN,CHINA,5,2070,5,2070
FR,FRANCE,0,0,500,104194
HK,HONG KONG,0,0,13,2839
ID,INDONESIA,0,0,400,115024
IT,ITALY,0,0,13,6236
JP,JAPAN,7400,1085406,35074,6950246
KR,"KOREA,REPUBLIC OF",36060,1235542,59930,2129909
MY,MALAYSIA,0,0,5000,480875
QA,QATAR,16500,661163,66000,2594841
US,UNITED STATES,0,0,9,9284
SUM,SUM,59965,2984181,166944,12395518
