"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'CIF (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'CIF (Baht)')"
BE,BELGIUM,0,0,24750,1065755
CN,CHINA,2008,359579,55982,4540751
DE,GERMANY,0,0,5510,380557
HK,HONG KONG,0,0,9,3351
IN,INDIA,0,0,53,8182
ID,INDONESIA,0,0,20,906
IL,ISRAEL,0,0,45000,3764276
IT,ITALY,0,0,73123,4928372
JP,JAPAN,4000,471206,72430,7310481
KR,"KOREA,REPUBLIC OF",60000,2896458,396840,19309617
MY,MALAYSIA,73,84586,61208,1634994
NL,NETHERLANDS,0,0,48125,3460687
PL,POLAND,0,0,460,159295
QA,QATAR,0,0,357000,15170960
SA,SAUDI ARABIA,0,0,24750,1143453
ES,SPAIN,0,0,100,394
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12500,1508405
AE,UNITED ARAB EMIRATES,0,0,200,9401
GB,UNITED KINGDOM,0,0,50,39379
US,UNITED STATES,0,0,45885,13174474
SUM,SUM,66081,3811829,1223995,77613690
