"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'CIF (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'CIF (Baht)')"
AT,AUSTRIA,100,169372,100,169372
BE,BELGIUM,200,203836,200,203836
BZ,BELIZE,382,139002,382,139002
CA,CANADA,3,31161,3,31161
CN,CHINA,134005,6926876,134005,6926876
DK,DENMARK,1,6843,1,6843
SZ,ESWATINI,500,98181,500,98181
FR,FRANCE,45586,2898102,45586,2898102
DE,GERMANY,9925,2458948,9925,2458948
HK,HONG KONG,8100,2132156,8100,2132156
IN,INDIA,5075,604812,5075,604812
IT,ITALY,4560,694005,4560,694005
JP,JAPAN,107308,19290178,107308,19290178
KR,"KOREA,REPUBLIC OF",321839,18420273,321839,18420273
MY,MALAYSIA,118200,10320914,118200,10320914
NL,NETHERLANDS,160000,13750253,160000,13750253
NO,NORWAY,1,697,1,697
SA,SAUDI ARABIA,396000,15638879,396000,15638879
SG,SINGAPORE,42290,4313507,42290,4313507
TW,"TAIWAN, PROVINCE OF CHINA",103000,7079216,103000,7079216
AE,UNITED ARAB EMIRATES,420750,17230243,420750,17230243
GB,UNITED KINGDOM,10400,1154288,10400,1154288
US,UNITED STATES,99498,13111111,99498,13111111
VN,VIETNAM,9001,750862,9001,750862
SUM,SUM,1996724,137423715,1996724,137423715
