"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'CIF (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'CIF (Baht)')"
KH,CAMBODIA,0,0,7,1613
CN,CHINA,0,0,4197,293890
FR,FRANCE,0,0,3,1460
DE,GERMANY,0,0,5525,162429
JP,JAPAN,1000,178410,10275,1756224
MY,MALAYSIA,0,0,1679600,71272464
PH,PHILIPPINES,0,0,3,1335
SA,SAUDI ARABIA,247500,10251167,1509750,63195785
SG,SINGAPORE,0,0,74250,3050041
ES,SPAIN,24750,1081379,519750,22340360
TW,"TAIWAN, PROVINCE OF CHINA",0,0,502,424675
US,UNITED STATES,162,118813,261,151842
SUM,SUM,273412,11629769,3804123,162652118
