"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
AU,AUSTRALIA,294810,12436883,1264345,51240987
AT,AUSTRIA,0,0,3100,315424
BE,BELGIUM,33050,2136372,1518050,86286874
CN,CHINA,321480,19098954,2101681,138881109
CZ,CZECH REPUBLIC,0,0,1,887
FI,FINLAND,500,39821,212600,13001389
DE,GERMANY,8473,1568353,49936,3348656
IN,INDIA,2012,223450,35532,2238915
ID,INDONESIA,3000,282653,6010,536202
IL,ISRAEL,0,0,80000,5490960
IT,ITALY,0,0,47,20257
JP,JAPAN,841495,51668646,4499346,274289090
KR,"KOREA,REPUBLIC OF",543315,27272053,5736050,274196247
MY,MALAYSIA,101876,10543749,836728,99957960
MX,MEXICO,0,0,9520,830732
NL,NETHERLANDS,0,0,9760,102880
SA,SAUDI ARABIA,689160,28696606,3388260,139852315
SG,SINGAPORE,442080,24539843,2161350,116151931
ZA,SOUTH AFRICA,0,0,24760,1066478
CH,SWITZERLAND,0,0,25,45998
TW,"TAIWAN, PROVINCE OF CHINA",26100,1393918,447435,22075674
TH,THAILAND,0,0,50,8542
AE,UNITED ARAB EMIRATES,500,24684,3675,177955
US,UNITED STATES,48272,4174287,275664,24130743
SUM,SUM,3356123,184100272,22663925,1254248205
