"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'CIF (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'CIF (Baht)')"
AU,AUSTRALIA,1395,232984,58059,4627697
BE,BELGIUM,28500,1154072,1694250,68569453
BR,BRAZIL,100,7291,525,61295
CA,CANADA,0,0,225050,6833262
CN,CHINA,98500,6281195,1087827,71361033
FI,FINLAND,2750,168341,2750,168341
FR,FRANCE,0,0,22025,1741506
DE,GERMANY,3,1205,3,1205
IN,INDIA,0,0,52000,1597548
ID,INDONESIA,148960,6667195,1056837,58150122
IL,ISRAEL,0,0,34116,2530533
JP,JAPAN,34000,1841318,2595571,153303508
KR,"KOREA,REPUBLIC OF",14000,459340,541050,20914628
KW,KUWAIT,272250,6947512,2796750,84362520
MY,MALAYSIA,0,249,559500,20128778
NL,NETHERLANDS,0,0,140000,5768277
QA,QATAR,144500,4010259,4046000,124472007
SA,SAUDI ARABIA,1865250,50705225,37055600,1189031043
SG,SINGAPORE,90250,2751407,5533725,203013441
ZA,SOUTH AFRICA,0,0,420750,13736419
ES,SPAIN,0,0,168500,6056843
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10,2432
AE,UNITED ARAB EMIRATES,199000,5399777,8156600,274072516
US,UNITED STATES,1162650,33131955,12439202,401863017
VN,VIETNAM,0,0,675,17710
SUM,SUM,4062108,119759325,78687375,2712385134
