"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
BE,BELGIUM,66820,4537692,335870,25884086
CN,CHINA,422084,27900080,860338,52751725
FR,FRANCE,47250,3031064,182885,13876853
DE,GERMANY,56000,4027813,76913,9281297
IN,INDIA,50,1653,175,6028
ID,INDONESIA,10360,1098810,15610,1677055
JP,JAPAN,1077825,81519596,2239129,197455627
KR,"KOREA,REPUBLIC OF",1514431,65967665,3759306,160804483
MY,MALAYSIA,17500,842903,59000,2603638
MX,MEXICO,0,0,680,63543
NL,NETHERLANDS,223500,16905193,273000,20846451
SA,SAUDI ARABIA,1361610,51991639,2331510,89037674
SG,SINGAPORE,2205400,99155727,5437345,252589158
ES,SPAIN,0,0,10095,1307243
TW,"TAIWAN, PROVINCE OF CHINA",25575,1093692,102075,4627744
AE,UNITED ARAB EMIRATES,544500,19336178,1446550,50253752
US,UNITED STATES,37894,5538483,37898,5540223
VN,VIETNAM,529750,18816713,987025,34965639
SUM,SUM,8140549,401764901,18155404,923572219
