"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'CIF (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'CIF (Baht)')"
AU,AUSTRALIA,4156,616674,13589,1433046
AT,AUSTRIA,0,0,4125,325745
BE,BELGIUM,9075,1304371,84805,6039034
BR,BRAZIL,1188000,61388275,10246525,508167310
CA,CANADA,24750,1172455,74260,3576832
CN,CHINA,53875,3433505,354809,20135162
DK,DENMARK,0,0,294,2385
FI,FINLAND,24675,1519692,570375,33035186
FR,FRANCE,0,0,0,2349
DE,GERMANY,381106,25635345,3081094,210480309
HK,HONG KONG,0,0,4,2215
IN,INDIA,0,0,16112,652273
ID,INDONESIA,0,0,6326,2286591
IL,ISRAEL,0,0,92060,7809228
IT,ITALY,0,0,171,44442
JP,JAPAN,217685,17385550,1831030,157082037
KR,"KOREA,REPUBLIC OF",72000,2956239,2544200,135137894
KW,KUWAIT,321750,12222089,3143250,121192867
LA,LAO PDR,0,0,925,44400
LU,LUXEMBOURG,0,0,7850,1244755
MY,MALAYSIA,5965448,245123563,41053038,1714763867
NL,NETHERLANDS,180780,11725472,2341946,143337524
NZ,NEW ZEALAND,0,0,1,691
NO,NORWAY,34480,2006969,298990,17635159
QA,QATAR,892500,35815895,8134500,329655025
RU,RUSSIAN FEDERATION,0,0,50000,2039775
SA,SAUDI ARABIA,2375500,95168500,24121925,972483668
SG,SINGAPORE,1959500,88249797,20029873,906693117
ES,SPAIN,1,80382,2,199234
SE,SWEDEN,0,0,9625,501647
CH,SWITZERLAND,0,556,62481,5133550
TW,"TAIWAN, PROVINCE OF CHINA",5630,436581,129631,4547544
TH,THAILAND,26500,615341,112825,5148585
AE,UNITED ARAB EMIRATES,74250,2906719,1127650,37478254
GB,UNITED KINGDOM,2,5336,18542,3026688
US,UNITED STATES,243129,18090730,1352426,100457822
VN,VIETNAM,0,0,25472,3098673
SUM,SUM,14054792,627860036,120940731,5454894883
