"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
AU,AUSTRALIA,491360,15026869,491360,15026869
AT,AUSTRIA,640,195344,1098,405935
CN,CHINA,966708,50053868,2096144,105247266
DK,DENMARK,30,9523,30,9523
FR,FRANCE,2750,194001,2750,194001
DE,GERMANY,1000,111625,21355,1810135
IN,INDIA,52003,833014,101635,1651923
ID,INDONESIA,27075,2085579,68325,5867384
IT,ITALY,2953,196074,4953,320109
JP,JAPAN,659784,41797324,1916918,127712874
KR,"KOREA,REPUBLIC OF",1441656,57916198,4469770,178815618
MY,MALAYSIA,124100,8745228,856449,38467729
MX,MEXICO,0,0,25,96070
NL,NETHERLANDS,49500,4007540,159782,13450406
NZ,NEW ZEALAND,375,18946,615,361574
OM,OMAN,99500,3090609,396500,11896743
SA,SAUDI ARABIA,1812250,55594200,5153500,158003133
SG,SINGAPORE,472083,30669390,1400846,83409989
CH,SWITZERLAND,100,28173,100,28173
TW,"TAIWAN, PROVINCE OF CHINA",228925,9062720,936676,38137938
TH,THAILAND,0,0,78000,2044308
AE,UNITED ARAB EMIRATES,1277750,39768240,3369050,101702786
GB,UNITED KINGDOM,6000,499410,6000,499410
US,UNITED STATES,2051,231646,13078,1973832
VN,VIETNAM,61051,2663147,77430,5089376
SUM,SUM,7779644,322798668,21622389,892223104
