"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'CIF (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,2682,159897
AT,AUSTRIA,0,0,112500,5435986
BE,BELGIUM,626700,28688634,2293460,113640732
BR,BRAZIL,0,0,2862,698919
CN,CHINA,13050,927183,313862,15391072
CZ,CZECH REPUBLIC,0,0,132,23775
EG,EGYPT,0,0,150,12481
FR,FRANCE,101075,4986631,262140,12458770
DE,GERMANY,102705,6962800,372228,25273242
IN,INDIA,0,0,32,5240
ID,INDONESIA,32000,3401820,101940,9500541
JP,JAPAN,1069488,76528085,4499030,294940813
KR,"KOREA,REPUBLIC OF",899120,38638602,3265080,133290435
MY,MALAYSIA,64500,2243425,538951,19828073
NL,NETHERLANDS,198000,13667279,393931,25099507
SA,SAUDI ARABIA,198000,6099795,915800,28378381
SG,SINGAPORE,4153100,163510140,14045777,552208762
ES,SPAIN,0,0,11550,953010
SE,SWEDEN,0,0,91,169475
TW,"TAIWAN, PROVINCE OF CHINA",17500,961213,657580,24137635
TH,THAILAND,55,17309,955,76647
AE,UNITED ARAB EMIRATES,407125,12455373,2976952,91475936
GB,UNITED KINGDOM,0,0,14,8301
US,UNITED STATES,18681,1873837,216929,11524254
VN,VIETNAM,1,231,1,231
SUM,SUM,7901100,360962357,30984629,1364692115
