"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'CIF (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'CIF (Baht)')"
BE,BELGIUM,33000,1598771,33000,1598771
CN,CHINA,77111,2921307,77111,2921307
IT,ITALY,29100,2579980,29100,2579980
JP,JAPAN,181895,8039510,181895,8039510
KR,"KOREA,REPUBLIC OF",1910300,115156016,1910300,115156016
MY,MALAYSIA,24970,2079186,24970,2079186
PT,PORTUGAL,19872,2215192,19872,2215192
SG,SINGAPORE,6550,207924,6550,207924
TW,"TAIWAN, PROVINCE OF CHINA",443050,30592539,443050,30592539
US,UNITED STATES,84505,4217953,84505,4217953
SUM,SUM,2810353,169608378,2810353,169608378
