"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
AT,AUSTRIA,22500,1829969,22500,1829969
BE,BELGIUM,1172280,80972357,1172280,80972357
BR,BRAZIL,8853,1463965,8853,1463965
CN,CHINA,99031,7633633,99031,7633633
DE,GERMANY,112400,10687433,112400,10687433
IN,INDIA,86000,5598192,86000,5598192
ID,INDONESIA,41250,4599136,41250,4599136
JP,JAPAN,1001916,69633640,1001916,69633640
KR,"KOREA,REPUBLIC OF",1249800,60777890,1249800,60777890
MY,MALAYSIA,123000,14184528,123000,14184528
NL,NETHERLANDS,121875,11076713,121875,11076713
SA,SAUDI ARABIA,615860,27691858,615860,27691858
SG,SINGAPORE,3133310,169916449,3133310,169916449
ES,SPAIN,14425,1509029,14425,1509029
TW,"TAIWAN, PROVINCE OF CHINA",85340,5827537,85340,5827537
AE,UNITED ARAB EMIRATES,433125,20074661,433125,20074661
US,UNITED STATES,83344,10060542,83344,10060542
SUM,SUM,8404309,503537532,8404309,503537532
