"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'CIF (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,2,7858
BE,BELGIUM,0,0,125500,19215746
CA,CANADA,0,0,22000,1347090
CN,CHINA,130000,11216667,860443,78787522
FI,FINLAND,0,0,275550,18747582
FR,FRANCE,0,0,2554,312095
DE,GERMANY,70000,7652120,90600,9648575
IT,ITALY,53,24501,2803,1452778
JP,JAPAN,1000,250496,21926,3059243
KR,"KOREA,REPUBLIC OF",231000,21059302,1705200,149255022
MY,MALAYSIA,3000,501818,3000,501818
PH,PHILIPPINES,0,0,2,494
SG,SINGAPORE,0,0,2725,1195321
SE,SWEDEN,40000,5523336,68000,9640054
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1,317
AE,UNITED ARAB EMIRATES,0,0,647200,41152493
GB,UNITED KINGDOM,21450,2383749,102510,12831689
US,UNITED STATES,86499,14985356,1351467,142517341
VN,VIETNAM,0,0,171153,10627596
SUM,SUM,583002,63597345,5452636,500300634
