"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'CIF (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'CIF (Baht)')"
AU,AUSTRALIA,400,111310,800,229461
AT,AUSTRIA,21,25294,703,771223
BE,BELGIUM,2250,288139,4674,842875
BR,BRAZIL,382,144222,1146,416719
CA,CANADA,109,971514,10167,2925352
CN,CHINA,224200,9484021,925023,45876426
FR,FRANCE,20233,1234590,197699,14533856
DE,GERMANY,748,207336,28646,7398198
IN,INDIA,22000,1636220,139020,8629834
ID,INDONESIA,22615,2094885,46840,4393418
IT,ITALY,1441,195240,4333,573236
JP,JAPAN,307862,43426194,1466662,220107294
KR,"KOREA,REPUBLIC OF",119691,7342056,1316997,76840830
LU,LUXEMBOURG,0,0,20,13769
MY,MALAYSIA,260200,23485144,965008,83405001
NL,NETHERLANDS,1450,417654,493912,43639090
NZ,NEW ZEALAND,0,0,220,174581
PH,PHILIPPINES,25,31279,25,31279
SA,SAUDI ARABIA,841500,31642896,3551450,137552773
SG,SINGAPORE,45856,4845601,373900,47317512
ZA,SOUTH AFRICA,99000,4083736,99000,4083736
ES,SPAIN,0,0,31960,2863465
CH,SWITZERLAND,0,0,1100,784310
TW,"TAIWAN, PROVINCE OF CHINA",149525,9155482,677497,36186119
GB,UNITED KINGDOM,11700,1353211,37993,4795498
US,UNITED STATES,256374,46008621,1096038,193030916
VN,VIETNAM,10200,890204,54021,4505186
SUM,SUM,2397782,189074849,11524854,941921957
