"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'CIF (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'CIF (Baht)')"
BE,BELGIUM,149075,7755685,1486805,85912364
BR,BRAZIL,0,0,1100,174632
CA,CANADA,8000,636117,84400,5906672
CN,CHINA,95877,3726702,1906691,81036976
DE,GERMANY,20,16486,22120,2172665
IN,INDIA,1700,888245,3375,1639044
IT,ITALY,300,22745,426084,40924153
JP,JAPAN,286250,17676743,2388828,152951727
KR,"KOREA,REPUBLIC OF",1357223,68324696,7482383,395671020
MY,MALAYSIA,60306,3726342,941114,53672448
SA,SAUDI ARABIA,123750,5985961,1881000,89413234
SG,SINGAPORE,216000,11719901,2041623,113033348
ES,SPAIN,0,0,25,21310
SE,SWEDEN,0,0,40000,1578735
TW,"TAIWAN, PROVINCE OF CHINA",686148,37918399,5291435,282899324
TH,THAILAND,293825,15590972,293825,15590972
AE,UNITED ARAB EMIRATES,0,0,422065,19509802
GB,UNITED KINGDOM,0,0,19776,2357794
US,UNITED STATES,50750,4541009,926782,60543946
VN,VIETNAM,0,0,14300,1319676
SUM,SUM,3329224,178530003,25673731,1406329842
