"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'CIF (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'CIF (Baht)')"
CN,CHINA,17,10614,32,15706
FR,FRANCE,500,99136,2000,413323
HK,HONG KONG,0,0,24,12784
IN,INDIA,0,0,18,1954
IL,ISRAEL,0,0,24000,1687735
JP,JAPAN,33555,3374440,89649,9876236
KR,"KOREA,REPUBLIC OF",109000,8443814,506000,37430763
MY,MALAYSIA,2,323,2,323
PA,PANAMA,2,11466,2,11466
QA,QATAR,0,0,34000,1149499
TW,"TAIWAN, PROVINCE OF CHINA",0,0,354,159625
GB,UNITED KINGDOM,0,0,7,4340
US,UNITED STATES,0,0,19,34302
SUM,SUM,143076,11939793,656107,50798056
