"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'CIF (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'CIF (Baht)')"
BR,BRAZIL,225,143778,495,310912
FR,FRANCE,515,136849,515,136849
JP,JAPAN,50430,3307488,67394,5117751
KR,"KOREA,REPUBLIC OF",91580,5001903,263160,13925896
NL,NETHERLANDS,2000,276878,2000,276878
RU,RUSSIAN FEDERATION,0,0,8250,1493369
SG,SINGAPORE,0,0,2176,232998
GB,UNITED KINGDOM,525,86394,525,86394
US,UNITED STATES,14,9237,38,22319
SUM,SUM,145289,8962527,344553,21603366
