"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'CIF (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'CIF (Baht)')"
AT,AUSTRIA,0,0,184,275704
BE,BELGIUM,450,81674,1950,177374
BZ,BELIZE,0,0,191,65750
BR,BRAZIL,1757,195295,1757,195295
CA,CANADA,29,325555,45,515874
CN,CHINA,30200,1668478,160500,8647579
FR,FRANCE,5116,595330,15121,1468428
DE,GERMANY,32294,2779797,50609,6953576
HK,HONG KONG,0,0,8000,2048888
IN,INDIA,2,152,3,202
IL,ISRAEL,2000,61164,2000,61164
JP,JAPAN,152305,28070556,275511,51738585
KR,"KOREA,REPUBLIC OF",888600,42347033,1618695,75783633
MY,MALAYSIA,67603,3925854,161103,10660784
NL,NETHERLANDS,80004,6077540,262004,20792099
NO,NORWAY,2,358,2,358
SA,SAUDI ARABIA,135750,4455955,234750,7640367
SG,SINGAPORE,37488,3047502,53488,4598448
TW,"TAIWAN, PROVINCE OF CHINA",24059,2459787,48059,4880537
TH,THAILAND,0,0,10100,803939
AE,UNITED ARAB EMIRATES,544500,17816172,767250,24787891
US,UNITED STATES,71360,11929382,164827,24871945
VN,VIETNAM,0,0,16050,1113377
SUM,SUM,2073519,125837584,3852199,248081797
