"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'CIF (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,52108,3075120
AT,AUSTRIA,120,124976,3895,732146
BE,BELGIUM,253425,12671459,1878699,93394765
CA,CANADA,0,0,347,188418
CN,CHINA,2084420,96313353,17034886,832701706
EG,EGYPT,0,0,50,18964
FI,FINLAND,0,0,210375,12771293
FR,FRANCE,0,0,32250,1130923
DE,GERMANY,9000,2311229,91910,22553502
HK,HONG KONG,201,37476,25077,1063234
HU,HUNGARY,0,0,50,20767
IN,INDIA,26625,798823,2804733,100254680
ID,INDONESIA,42600,4047217,239420,25440613
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,750,71696
IL,ISRAEL,12000,801386,115000,8120625
IT,ITALY,49500,4303187,67631,6843245
JP,JAPAN,685828,45846640,7702554,514861764
KE,KENYA,0,0,70000,3554662
KR,"KOREA,REPUBLIC OF",2304809,106848487,19744547,933265420
MY,MALAYSIA,42127,4438974,1022476,94247718
MX,MEXICO,1360,169012,1677,388583
NL,NETHERLANDS,0,0,455200,42837334
NZ,NEW ZEALAND,216,262397,2190,2379625
RO,ROMANIA,0,0,24,10374
RU,RUSSIAN FEDERATION,0,0,180,91460
SA,SAUDI ARABIA,2307740,87052332,35999595,1388759885
SG,SINGAPORE,1490263,70514868,12763761,627980175
SK,SLOVAKIA,9700,634692,19400,1201402
ZA,SOUTH AFRICA,0,0,272250,10359936
ES,SPAIN,0,0,38500,3410379
CH,SWITZERLAND,0,0,20,6165
TW,"TAIWAN, PROVINCE OF CHINA",90550,4729450,596386,32771713
TH,THAILAND,26200,1339834,171200,9426735
TR,TÜRKIYE,600,71849,910,125654
UA,UKRAINE,0,0,47050,1961097
AE,UNITED ARAB EMIRATES,332750,12654862,2791875,110224198
GB,UNITED KINGDOM,0,0,300,36885
US,UNITED STATES,34757,3131629,806689,56923797
VN,VIETNAM,16474,1038881,1082121,47684861
SUM,SUM,9821265,460143013,106146086,4990891519
