"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'CIF (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'CIF (Baht)')"
CA,CANADA,10000,1456900,10000,1456900
CN,CHINA,0,0,20481,4519056
FR,FRANCE,0,0,2,1175
DE,GERMANY,1,365,3,1200
JP,JAPAN,0,0,5150,806429
MY,MALAYSIA,0,0,0,57
NL,NETHERLANDS,0,0,25,13671
SG,SINGAPORE,0,0,7,1073
TW,"TAIWAN, PROVINCE OF CHINA",0,0,121,11577
GB,UNITED KINGDOM,0,0,556,286976
US,UNITED STATES,816,118909,816,118909
VN,VIETNAM,0,0,6,869
SUM,SUM,10817,1576174,37167,7217892
