"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'CIF (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'CIF (Baht)')"
CN,CHINA,25,4373,25,4373
ID,INDONESIA,14270,1502172,14270,1502172
JP,JAPAN,429460,27045190,429460,27045190
KW,KUWAIT,123750,6141747,123750,6141747
MY,MALAYSIA,1139500,63069597,1139500,63069597
QA,QATAR,102000,5028984,102000,5028984
SA,SAUDI ARABIA,2920550,147446274,2920550,147446274
SG,SINGAPORE,151500,7941169,151500,7941169
AE,UNITED ARAB EMIRATES,495025,25958417,495025,25958417
US,UNITED STATES,139272,11115320,139272,11115320
SUM,SUM,5515352,295253243,5515352,295253243
