"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2013', 'Quantity')","('Jul 2013', 'CIF (Baht)')","('Jan - Jul 2013', 'Quantity')","('Jan - Jul 2013', 'CIF (Baht)')"
BE,BELGIUM,24000,2368514,120000,11562675
CN,CHINA,0,0,5326,456183
FI,FINLAND,0,0,24750,1633832
IT,ITALY,1450,429329,1450,429329
JP,JAPAN,352000,23158810,793200,50773285
KR,"KOREA,REPUBLIC OF",39000,3207363,188000,11340462
SG,SINGAPORE,857000,39516712,5613000,252630101
SE,SWEDEN,0,0,14000,1295181
AE,UNITED ARAB EMIRATES,271000,13593879,1024450,49129060
US,UNITED STATES,103802,6114140,800532,47791767
SUM,SUM,1648252,88388747,8584708,427041875
