"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'CIF (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'CIF (Baht)')"
BE,BELGIUM,24750,878015,24750,878015
BR,BRAZIL,2750,252303,2750,252303
FR,FRANCE,0,0,1,610
DE,GERMANY,21,8800,21,8800
IN,INDIA,1,101,3001,255301
JP,JAPAN,25000,1546929,49500,3192957
MY,MALAYSIA,56,56554,106,106715
SA,SAUDI ARABIA,219600,5763620,566100,15249665
TW,"TAIWAN, PROVINCE OF CHINA",30,25506,30,25506
US,UNITED STATES,0,0,30,47835
VN,VIETNAM,0,0,35000,1380121
SUM,SUM,272208,8531828,681289,21397828
