"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2013', 'Quantity')","('Jun 2013', 'CIF (Baht)')","('Jan - Jun 2013', 'Quantity')","('Jan - Jun 2013', 'CIF (Baht)')"
BE,BELGIUM,12000,1148709,96000,9194161
CN,CHINA,0,0,5326,456183
FI,FINLAND,0,0,24750,1633832
JP,JAPAN,0,0,441200,27614475
KR,"KOREA,REPUBLIC OF",42000,2173573,149000,8133099
SG,SINGAPORE,804000,34866145,4756000,213113389
SE,SWEDEN,0,0,14000,1295181
AE,UNITED ARAB EMIRATES,148200,7093278,753450,35535181
US,UNITED STATES,165185,9310199,696730,41677627
SUM,SUM,1171385,54591904,6936456,338653128
