"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'CIF (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'CIF (Baht)')"
AT,AUSTRIA,225,109902,350,159671
BE,BELGIUM,11250,1299384,13877,1644785
CA,CANADA,5250,1958072,106000,6058542
CN,CHINA,154767,8856494,921869,48098279
FR,FRANCE,0,0,450,46515
DE,GERMANY,5650,634486,57767,5223207
HK,HONG KONG,20725,2156609,51100,5923071
ID,INDONESIA,230,29382,255,33589
IL,ISRAEL,0,0,0,134
IT,ITALY,0,0,0,2366
JP,JAPAN,492779,49061550,960619,120568997
KR,"KOREA,REPUBLIC OF",524435,39049224,1115817,84348896
MY,MALAYSIA,97152,5327024,161522,10347099
NL,NETHERLANDS,51700,2923665,171700,9974828
NO,NORWAY,4,2388,12,8206
QA,QATAR,527250,21923604,1731000,73827793
SA,SAUDI ARABIA,437700,18197748,1226550,50294453
SG,SINGAPORE,1197868,70545888,4463403,226824590
ES,SPAIN,9525,889849,31527,2904464
TW,"TAIWAN, PROVINCE OF CHINA",308199,19723309,693523,44239039
TH,THAILAND,20,4783,80,15944
AE,UNITED ARAB EMIRATES,0,0,495075,20625289
GB,UNITED KINGDOM,1350,245813,9000,1739368
US,UNITED STATES,1133059,69097019,2706611,167160325
VN,VIETNAM,74500,5394745,286325,21739229
SUM,SUM,5053638,317430938,15204432,901808679
