"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'CIF (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'CIF (Baht)')"
CN,CHINA,3020,300955,18040,1715090
DE,GERMANY,2750,328556,7025,862332
JP,JAPAN,3000,246715,24000,1861043
KR,"KOREA,REPUBLIC OF",0,0,200,10740
NL,NETHERLANDS,103125,4927817,312625,15077307
SA,SAUDI ARABIA,74250,2832678,445500,17635776
SG,SINGAPORE,356050,22698501,2253050,143292894
ES,SPAIN,0,0,44400,2313681
AE,UNITED ARAB EMIRATES,173250,7038579,863675,35687563
GB,UNITED KINGDOM,0,0,25,14852
US,UNITED STATES,56200,5052654,117398,8752684
SUM,SUM,771645,43426455,4085938,227223962
