"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'CIF (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'CIF (Baht)')"
BE,BELGIUM,0,0,84000,8910651
CN,CHINA,250,48159,35610,4947881
FI,FINLAND,24750,1719536,49500,3477039
DE,GERMANY,0,0,63000,5248296
ID,INDONESIA,24750,1062986,24750,1062986
JP,JAPAN,0,0,796620,57470522
KR,"KOREA,REPUBLIC OF",12000,795818,313800,23065090
MY,MALAYSIA,24000,1030774,24000,1030774
QA,QATAR,0,0,49500,2056624
SG,SINGAPORE,629000,27557126,1154000,50388655
TW,"TAIWAN, PROVINCE OF CHINA",200,15790,200,15790
AE,UNITED ARAB EMIRATES,181300,8774452,991800,48137671
US,UNITED STATES,41912,2051556,794440,52100299
SUM,SUM,938162,43056197,4381220,257912278
