"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'CIF (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'CIF (Baht)')"
AT,AUSTRIA,0,0,5500,476887
CN,CHINA,4850,543328,108950,10623637
HK,HONG KONG,0,0,590,28372
JP,JAPAN,110000,7088400,1172400,73161971
KR,"KOREA,REPUBLIC OF",10160,1335791,226660,13974687
MY,MALAYSIA,10000,655586,10000,655586
SE,SWEDEN,0,0,24750,1388856
TW,"TAIWAN, PROVINCE OF CHINA",0,0,22000,2165306
AE,UNITED ARAB EMIRATES,26000,1206313,208000,9909973
US,UNITED STATES,271742,16072979,740814,46638486
VN,VIETNAM,43875,3051701,228450,15354424
SUM,SUM,476627,29954098,2748114,174378185
