"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'CIF (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,400,102597
AT,AUSTRIA,200,354318,1094,1629545
BD,BANGLADESH,28,7480,28,7480
BE,BELGIUM,24750,1509242,73890,5573288
BR,BRAZIL,573,212704,3247,1153815
CA,CANADA,40,496816,192,2243649
CN,CHINA,129911,9489050,1431363,74381781
DK,DENMARK,0,0,3,19656
FR,FRANCE,20227,1179903,127162,8753657
DE,GERMANY,20116,5239404,78214,21149172
HK,HONG KONG,8000,2242175,32000,8430173
IN,INDIA,5051,481930,256172,12941910
ID,INDONESIA,60,18153,45468,4112182
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,1680,235487
IT,ITALY,1610,221464,9646,1343665
JP,JAPAN,204734,34247503,1598198,267398766
KR,"KOREA,REPUBLIC OF",401525,25549573,2415708,133973518
LU,LUXEMBOURG,0,0,5,3725
MY,MALAYSIA,87734,8983980,821121,73770210
NL,NETHERLANDS,140000,12546556,575136,53096580
NZ,NEW ZEALAND,0,0,149,121318
NO,NORWAY,0,0,267,132289
PH,PHILIPPINES,0,0,5,3628
RU,RUSSIAN FEDERATION,0,0,845,114220
SA,SAUDI ARABIA,123750,5479991,1683000,68862273
SG,SINGAPORE,46600,7993534,528295,59804575
ES,SPAIN,0,0,48575,3975863
CH,SWITZERLAND,250,254391,2000,1320942
TW,"TAIWAN, PROVINCE OF CHINA",254000,11915753,901975,40836548
TH,THAILAND,0,0,22500,1974211
AE,UNITED ARAB EMIRATES,0,0,247500,11431608
GB,UNITED KINGDOM,0,0,59583,6955311
US,UNITED STATES,73454,12437131,937645,132570388
VN,VIETNAM,8067,711404,65635,5566953
SUM,SUM,1550680,141572455,11968701,1003990983
