"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'CIF (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'CIF (Baht)')"
AU,AUSTRALIA,12429,979712,369178,24706474
AT,AUSTRIA,2040,151402,2824,187045
BE,BELGIUM,19000,1881648,1113675,82426874
BR,BRAZIL,150,205725,650,280798
BG,BULGARIA,0,0,40,16765
CA,CANADA,0,0,275,124099
CN,CHINA,446129,32138810,6191462,429906602
CZ,CZECH REPUBLIC,0,0,375,60923
EC,ECUADOR,0,0,6,3926
FI,FINLAND,0,0,195437,14138342
FR,FRANCE,24810,1899009,441837,35274992
DE,GERMANY,13150,3170810,202748,40309883
HK,HONG KONG,0,0,425,78931
IN,INDIA,0,0,243433,12431841
ID,INDONESIA,14500,1725030,170460,22907299
IL,ISRAEL,12000,1137755,25370,2446890
IT,ITALY,5500,601762,35908,5679686
JP,JAPAN,1045978,83679774,10190118,870132272
KP,KOREA DPR,84000,4838578,156208,9600682
KR,"KOREA,REPUBLIC OF",1541754,98868316,20600730,1296598807
KW,KUWAIT,0,0,24750,1311388
MY,MALAYSIA,44027,6962186,778579,115451930
MX,MEXICO,0,0,60,83519
NL,NETHERLANDS,20600,193457,1007340,86462194
NZ,NEW ZEALAND,101,133234,3269,640243
PH,PHILIPPINES,0,0,17689,1681291
PT,PORTUGAL,0,0,47,31619
SA,SAUDI ARABIA,4101220,211665884,49037499,2499925074
SG,SINGAPORE,1599829,98224376,16382618,998336174
SK,SLOVAKIA,0,0,5200,832403
ZA,SOUTH AFRICA,0,0,396000,20051224
ES,SPAIN,209000,12005271,299771,21561586
TW,"TAIWAN, PROVINCE OF CHINA",135369,8761714,2401009,127618007
TH,THAILAND,0,0,93859,5232451
AE,UNITED ARAB EMIRATES,134750,6891636,1268150,65278595
GB,UNITED KINGDOM,0,0,18118,2730691
US,UNITED STATES,639641,34796979,2932335,166257373
VN,VIETNAM,10646,917248,184898,14142528
SUM,SUM,10116623,611830316,114792350,6974941421
