"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'CIF (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,999500,41340829
AT,AUSTRIA,0,0,4597,1250065
BE,BELGIUM,0,0,201800,10678038
CA,CANADA,302,99888,1313,510363
CN,CHINA,1224871,67608434,18021774,906970704
CZ,CZECH REPUBLIC,0,0,2700,656541
EG,EGYPT,0,0,100,46906
FR,FRANCE,0,0,3110,252176
DE,GERMANY,310,71513,50919,10528364
HK,HONG KONG,1240,351534,1779,530631
IN,INDIA,65750,2042671,536578,14212060
ID,INDONESIA,51250,5419607,334487,32731815
IL,ISRAEL,0,0,5000,394933
IT,ITALY,900,71576,54850,3123047
JP,JAPAN,963496,66539097,8431420,612171988
KR,"KOREA,REPUBLIC OF",1890943,97352370,18628026,904714611
MY,MALAYSIA,46742,5561052,618692,56802592
NL,NETHERLANDS,148500,13905549,1141175,102217494
NZ,NEW ZEALAND,0,0,2640,2722024
OM,OMAN,5900,255266,5900,255266
PH,PHILIPPINES,0,0,304000,12428224
RU,RUSSIAN FEDERATION,0,0,150,29266
SA,SAUDI ARABIA,5499077,233758399,26132956,1071475590
SG,SINGAPORE,995474,56586539,9899404,532236810
SK,SLOVAKIA,0,0,19400,1275741
ZA,SOUTH AFRICA,0,0,74250,2856615
ES,SPAIN,0,0,96250,7395111
TW,"TAIWAN, PROVINCE OF CHINA",129745,6037106,2093719,98798364
TH,THAILAND,0,0,190682,10226058
AE,UNITED ARAB EMIRATES,247600,10121785,844475,34493344
GB,UNITED KINGDOM,0,0,1700,144192
US,UNITED STATES,6795,540908,219892,17333312
VN,VIETNAM,4174,455857,36707,5083273
SUM,SUM,11283069,566779151,88959945,4495886347
