"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'CIF (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'CIF (Baht)')"
BE,BELGIUM,43000,2996872,43000,2996872
CN,CHINA,15720,610334,15720,610334
FR,FRANCE,11000,933832,11000,933832
HK,HONG KONG,4950,336179,4950,336179
IT,ITALY,47360,7021327,47360,7021327
JP,JAPAN,120191,8576024,120191,8576024
KR,"KOREA,REPUBLIC OF",28016,1687357,28016,1687357
MY,MALAYSIA,203344,9525525,203344,9525525
NL,NETHERLANDS,2750,293198,2750,293198
SG,SINGAPORE,5002,180520,5002,180520
TW,"TAIWAN, PROVINCE OF CHINA",53000,3178782,53000,3178782
US,UNITED STATES,37540,4111707,37540,4111707
VN,VIETNAM,25650,529224,25650,529224
SUM,SUM,597523,39980881,597523,39980881
