"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'CIF (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,39,70153
BD,BANGLADESH,0,0,1,67
CN,CHINA,0,0,71768,3280235
DE,GERMANY,0,0,5,12475
IE,IRELAND,0,0,2,1374
JP,JAPAN,10461,1533411,104427,12979887
KR,"KOREA,REPUBLIC OF",72000,3105723,377008,16808018
MY,MALAYSIA,0,0,10,1378
SG,SINGAPORE,117000,6114042,298500,15578448
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,10114
US,UNITED STATES,0,0,151,66509
SUM,SUM,199461,10753176,852011,48808658
