"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
CN,CHINA,0,0,4000,395014
DE,GERMANY,1500,525563,1500,525563
JP,JAPAN,45700,5188759,51200,5775873
KR,"KOREA,REPUBLIC OF",273000,25236040,576300,53543611
NL,NETHERLANDS,119000,6925342,154750,9067331
QA,QATAR,51000,2670461,76500,3771986
SA,SAUDI ARABIA,197250,9105101,311700,15278391
SG,SINGAPORE,1656790,105450190,3004345,185365264
ES,SPAIN,17600,1593294,61600,5591829
AE,UNITED ARAB EMIRATES,445500,21079351,941875,43914958
US,UNITED STATES,786425,37472609,1219075,60218283
SUM,SUM,3593765,215246710,6402845,383448103
