"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'CIF (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,3,1907
CA,CANADA,0,0,1020,293254
CN,CHINA,0,0,34150,2621923
FR,FRANCE,20260,1135070,179249,12920419
DE,GERMANY,700,126574,7208,1248394
IN,INDIA,180,12279,14940,751833
JP,JAPAN,143024,6283820,1044229,55434750
KR,"KOREA,REPUBLIC OF",63180,3083779,2194061,108207149
MY,MALAYSIA,0,0,2400,236394
NL,NETHERLANDS,0,0,11000,1187239
RU,RUSSIAN FEDERATION,0,0,23250,4434735
SG,SINGAPORE,0,0,351,81971
GB,UNITED KINGDOM,0,0,175,72070
US,UNITED STATES,6,9483,841,375971
SUM,SUM,227350,10651005,3512877,187868009
