"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'CIF (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'CIF (Baht)')"
BE,BELGIUM,12000,1264194,38500,4097081
CN,CHINA,60,487,114446,9546783
DE,GERMANY,16,83944,359,353174
IN,INDIA,0,0,298680,25332971
ID,INDONESIA,0,0,100,666
IT,ITALY,0,0,2750,495917
JP,JAPAN,0,0,128600,13515843
KR,"KOREA,REPUBLIC OF",0,0,151500,12713054
MY,MALAYSIA,0,0,2245,1205103
NZ,NEW ZEALAND,0,0,50,15511
SG,SINGAPORE,0,0,298145,15160762
SE,SWEDEN,0,0,31825,6170069
TH,THAILAND,0,0,50,11759
AE,UNITED ARAB EMIRATES,87100,4835577,452450,25135528
US,UNITED STATES,36420,2930629,510906,39364086
SUM,SUM,135596,9114831,2030606,153118307
