"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
CN,CHINA,29,5762,51,17811
FR,FRANCE,836,247798,3036,709929
DE,GERMANY,0,0,4,2232
HK,HONG KONG,0,0,75,16750
IT,ITALY,0,0,16150,1158657
JP,JAPAN,17541,2012143,158886,24930422
KR,"KOREA,REPUBLIC OF",42000,2261475,170850,11627559
MY,MALAYSIA,0,0,35485,1625892
QA,QATAR,0,0,101500,4620092
CH,SWITZERLAND,0,0,0,4375
TW,"TAIWAN, PROVINCE OF CHINA",14,10329,14,10329
GB,UNITED KINGDOM,0,0,225,30017
SUM,SUM,60420,4537507,486276,44754065
