"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'CIF (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,105,42184
AT,AUSTRIA,0,0,24750,1379852
BE,BELGIUM,0,0,119020,7185708
BR,BRAZIL,1337500,65610066,7005646,365097689
CN,CHINA,8773,840922,236742,13517939
FI,FINLAND,99000,5561042,668225,37190664
DE,GERMANY,377109,25775377,3311159,212845451
HK,HONG KONG,0,0,29,101772
IN,INDIA,525,44262,7851,518196
ID,INDONESIA,52600,3515923,229245,17071500
IL,ISRAEL,20200,1583479,102600,8394684
IT,ITALY,0,0,26,19614
JP,JAPAN,336534,24591252,2460821,189933852
KR,"KOREA,REPUBLIC OF",277553,15143227,2690332,151519147
KW,KUWAIT,618750,22823442,3440250,139341250
LA,LAO PDR,0,0,27500,1292500
MY,MALAYSIA,3545250,148924709,28550620,1300024205
MX,MEXICO,0,0,99000,4598041
NL,NETHERLANDS,186370,11191936,2372435,142877984
NO,NORWAY,0,0,52250,3034899
QA,QATAR,816000,32612981,6247026,272188848
SA,SAUDI ARABIA,3227299,131648125,24545023,1058990783
SG,SINGAPORE,2564660,116631446,22041872,1083112259
ZA,SOUTH AFRICA,0,0,99000,4057657
ES,SPAIN,0,0,268566,23072551
SE,SWEDEN,0,0,7,7593
CH,SWITZERLAND,2250,399616,2910,598516
TW,"TAIWAN, PROVINCE OF CHINA",4797,525448,18312,1903743
TH,THAILAND,0,0,31200,1547676
AE,UNITED ARAB EMIRATES,441390,15741732,1873844,62667051
GB,UNITED KINGDOM,0,79,19954,3347501
US,UNITED STATES,224796,18226417,1037185,83741973
VN,VIETNAM,4000,587131,90373,7805076
SUM,SUM,14145356,641978612,107673878,5199028358
