"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'CIF (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'CIF (Baht)')"
BR,BRAZIL,0,0,1575,149242
CN,CHINA,7,2138,9,5466
ID,INDONESIA,50,14745,50,14745
JP,JAPAN,625,48921,892650,33988868
KR,"KOREA,REPUBLIC OF",0,0,88000,2718146
MY,MALAYSIA,0,0,1338750,35103595
SA,SAUDI ARABIA,173250,4766457,1014750,26944453
SG,SINGAPORE,0,0,99000,2424084
TW,"TAIWAN, PROVINCE OF CHINA",75,16555,20100,1103982
US,UNITED STATES,90000,2665856,306000,10561896
SUM,SUM,264007,7514672,3760884,113014477
