"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2018', 'Quantity')","('Aug 2018', 'CIF (Baht)')","('Jan - Aug 2018', 'Quantity')","('Jan - Aug 2018', 'CIF (Baht)')"
AT,AUSTRIA,3249,690391,4577,1225732
BE,BELGIUM,1375,274671,201750,10656223
CA,CANADA,0,0,1011,410475
CN,CHINA,1842896,99869146,14688918,734678022
CZ,CZECH REPUBLIC,0,0,1700,512944
EG,EGYPT,0,0,100,46906
FR,FRANCE,0,0,3110,252176
DE,GERMANY,5185,386231,50608,10453986
HK,HONG KONG,0,0,227,48445
IN,INDIA,10,1310,415753,10909787
ID,INDONESIA,43460,3721261,274484,26085553
IT,ITALY,1100,116791,53950,3051471
JP,JAPAN,695618,62186871,6692344,484359039
KR,"KOREA,REPUBLIC OF",1744494,91430537,15737191,754368538
MY,MALAYSIA,80630,4965038,523670,44445333
NL,NETHERLANDS,198000,18212306,844175,74642319
NZ,NEW ZEALAND,25,13007,2640,2722024
PH,PHILIPPINES,0,0,304000,12428224
RU,RUSSIAN FEDERATION,0,0,150,29266
SA,SAUDI ARABIA,2165240,96288500,18481699,744063878
SG,SINGAPORE,816291,50145896,8072947,429965117
SK,SLOVAKIA,0,0,19400,1275741
ZA,SOUTH AFRICA,0,0,74250,2856615
ES,SPAIN,0,0,96250,7395111
TW,"TAIWAN, PROVINCE OF CHINA",165296,9102404,1885847,88611812
TH,THAILAND,25000,1273020,170550,8963686
AE,UNITED ARAB EMIRATES,110000,4632806,547350,22289919
US,UNITED STATES,55459,2712787,190191,14857365
VN,VIETNAM,1650,263717,32533,4627416
SUM,SUM,7954978,446286690,69371375,3496233123
