"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'CIF (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'CIF (Baht)')"
BE,BELGIUM,0,0,84000,9343252
CA,CANADA,8890,325714,8890,325714
CN,CHINA,4500,378488,10996,746106
DE,GERMANY,0,0,1100,578409
IT,ITALY,0,0,5750,730083
JP,JAPAN,0,0,54136,4139766
KR,"KOREA,REPUBLIC OF",0,0,194900,16974620
SA,SAUDI ARABIA,0,0,24750,1055117
SG,SINGAPORE,240000,7034533,1248000,34194094
SE,SWEDEN,0,0,14000,1485683
AE,UNITED ARAB EMIRATES,0,0,296700,9470248
GB,UNITED KINGDOM,0,0,20150,2460082
US,UNITED STATES,194687,13393144,1300911,85199935
SUM,SUM,448077,21131879,3264283,166703109
