"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,20130,613741
AT,AUSTRIA,50,18517,8310,1351239
BE,BELGIUM,121550,10344925,414530,37391897
BR,BRAZIL,0,0,300,64633
CA,CANADA,1500,440171,12660,3023576
CN,CHINA,354680,13773448,3168188,131866488
FI,FINLAND,50,47265,50,47265
FR,FRANCE,12375,1359489,81182,7684745
DE,GERMANY,28459,2977953,127500,12752449
HK,HONG KONG,44,24728,44,52766
IN,INDIA,1020,103944,115264,5793658
ID,INDONESIA,0,0,440,21620
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,83,57003
IL,ISRAEL,100,4404,100,4404
IT,ITALY,4750,1069676,23252,6608914
JP,JAPAN,281313,36673131,2081959,262005596
KR,"KOREA,REPUBLIC OF",287300,13155081,2004402,97537926
LU,LUXEMBOURG,0,0,175,38999
MY,MALAYSIA,90350,4223907,573588,31144804
NL,NETHERLANDS,0,0,272,110131
NZ,NEW ZEALAND,0,0,250,17740
QA,QATAR,25500,983793,1734050,72488455
SA,SAUDI ARABIA,145350,5964486,946075,41305450
SG,SINGAPORE,2266644,107203498,14582145,707923760
ZA,SOUTH AFRICA,0,0,0,16076
ES,SPAIN,0,0,50875,4214124
CH,SWITZERLAND,0,0,93,46580
TW,"TAIWAN, PROVINCE OF CHINA",36178,2163584,303385,24013564
TH,THAILAND,0,0,26088,1647486
TT,TRINIDAD AND TOBAGO,0,0,17277,208771
UA,UKRAINE,0,0,24400,1118207
AE,UNITED ARAB EMIRATES,297200,11947621,1756460,74121667
GB,UNITED KINGDOM,1000,250600,12900,3384265
US,UNITED STATES,440297,39382137,1989840,249431112
VN,VIETNAM,0,0,447,80703
SUM,SUM,4395710,252112358,30076714,1778189814
