"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'CIF (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'CIF (Baht)')"
CN,CHINA,9,7383,3061,507136
FR,FRANCE,0,0,0,20300
JP,JAPAN,0,0,134612,11455458
KR,"KOREA,REPUBLIC OF",0,0,28800,1806887
MY,MALAYSIA,0,0,20140,2171652
SG,SINGAPORE,0,0,43200,4918604
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2,1600
TH,THAILAND,0,0,14700,837036
US,UNITED STATES,0,0,5700,893865
SUM,SUM,9,7383,250215,22612538
