"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'CIF (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'CIF (Baht)')"
CN,CHINA,5000,383829,45025,3322100
DE,GERMANY,1000,56223,1000,56223
IN,INDIA,0,0,20100,397385
JP,JAPAN,1875,450947,69193,6568941
KR,"KOREA,REPUBLIC OF",0,0,76000,6025850
SA,SAUDI ARABIA,0,0,148500,6048085
SG,SINGAPORE,0,0,173150,8223223
TW,"TAIWAN, PROVINCE OF CHINA",0,0,7650,681922
AE,UNITED ARAB EMIRATES,11000,437794,134750,5352106
SUM,SUM,18875,1328793,675368,36675835
