"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'CIF (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'CIF (Baht)')"
BE,BELGIUM,19000,1578279,56823,4834091
CN,CHINA,262500,10352302,644582,30068193
EG,EGYPT,0,0,25,10871
FR,FRANCE,0,0,500,138729
DE,GERMANY,0,0,12200,815540
IN,INDIA,1025,118648,3050,357407
IT,ITALY,0,0,0,2300
JP,JAPAN,306425,16148011,1785020,94313398
KR,"KOREA,REPUBLIC OF",630100,27669285,3255800,145291428
KW,KUWAIT,0,0,24750,1008305
MY,MALAYSIA,48617,7021542,304897,45033022
SA,SAUDI ARABIA,495000,18991532,2574050,100742736
SG,SINGAPORE,17840,2809864,116741,17696532
ZA,SOUTH AFRICA,0,0,123750,4550144
TW,"TAIWAN, PROVINCE OF CHINA",49500,2310247,110525,5335184
TH,THAILAND,200,102533,200,102533
AE,UNITED ARAB EMIRATES,0,0,100,45936
US,UNITED STATES,0,0,10,6259
VN,VIETNAM,60000,967734,180000,2865337
SUM,SUM,1890207,88069977,9193023,453217945
