"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'CIF (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'CIF (Baht)')"
AT,AUSTRIA,7000,953737,13200,1699867
BE,BELGIUM,50175,4461969,110075,10336229
CA,CANADA,0,0,8350,2323105
CN,CHINA,817515,30876374,2685000,116855422
DK,DENMARK,0,0,0,204
FR,FRANCE,0,0,11000,1288220
DE,GERMANY,37983,3629862,46546,5129653
HK,HONG KONG,0,0,150,34350
IN,INDIA,2000,349988,27025,2285164
ID,INDONESIA,254,104828,255,104947
IT,ITALY,5,3328,2755,1563249
JP,JAPAN,323690,37702469,1060106,114244312
KR,"KOREA,REPUBLIC OF",271635,17206428,989285,52679962
KW,KUWAIT,0,0,200,109520
MY,MALAYSIA,105425,5660885,211250,11143421
NL,NETHERLANDS,11000,1377684,11135,1523905
SA,SAUDI ARABIA,74650,3002653,236150,9661262
SG,SINGAPORE,3272600,144466052,7866703,353079369
ES,SPAIN,17600,1106318,44000,2960116
TW,"TAIWAN, PROVINCE OF CHINA",8195,1404018,80055,7634927
TH,THAILAND,2500,271482,2500,271482
AE,UNITED ARAB EMIRATES,223250,9126981,1126500,45790015
GB,UNITED KINGDOM,1500,540849,3000,1023361
US,UNITED STATES,142180,21083772,662507,95930740
VN,VIETNAM,16666,794474,27839,1416270
SUM,SUM,5385823,284124151,15225586,839089072
