"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2012', 'Quantity')","('Aug 2012', 'CIF (Baht)')","('Jan - Aug 2012', 'Quantity')","('Jan - Aug 2012', 'CIF (Baht)')"
CN,CHINA,0,4900,3052,499753
FR,FRANCE,0,0,0,20300
JP,JAPAN,52750,3224977,134612,11455458
KR,"KOREA,REPUBLIC OF",0,0,28800,1806887
MY,MALAYSIA,0,0,20140,2171652
SG,SINGAPORE,0,0,43200,4918604
TW,"TAIWAN, PROVINCE OF CHINA",2,1600,2,1600
TH,THAILAND,0,0,14700,837036
US,UNITED STATES,2000,310319,5700,893865
SUM,SUM,54752,3541796,250206,22605155
