"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'CIF (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'CIF (Baht)')"
AT,AUSTRIA,0,0,2750,207213
BE,BELGIUM,0,0,77,43197
CA,CANADA,0,0,96250,4706655
CN,CHINA,48000,2377590,64000,3106490
HK,HONG KONG,0,0,16000,767001
JP,JAPAN,125,25399,509,168046
KR,"KOREA,REPUBLIC OF",0,0,44002,2112816
NL,NETHERLANDS,0,0,25,8055
QA,QATAR,0,0,101500,4382775
SA,SAUDI ARABIA,48000,2271720,499250,22166435
SG,SINGAPORE,0,0,74250,3825620
SK,SLOVAKIA,0,0,5,3733
ES,SPAIN,0,0,123750,5799733
AE,UNITED ARAB EMIRATES,0,0,200,39639
US,UNITED STATES,0,0,290150,15635699
SUM,SUM,96125,4674709,1312718,62973107
