"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'CIF (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'CIF (Baht)')"
BE,BELGIUM,24000,2424013,96000,9739338
CN,CHINA,0,0,3050,146256
JP,JAPAN,0,0,31043,4916876
KR,"KOREA,REPUBLIC OF",2400,171308,623288,40450167
QA,QATAR,0,0,330000,13702574
SG,SINGAPORE,556000,23316714,9776000,420929784
SE,SWEDEN,0,0,56000,5511362
AE,UNITED ARAB EMIRATES,49500,1978614,833500,37579137
GB,UNITED KINGDOM,0,0,2500,399043
US,UNITED STATES,0,0,1574263,93427026
VN,VIETNAM,24000,1357643,56053,3171526
SUM,SUM,655900,29248292,13381697,629973089
