"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2021', 'Quantity')","('Nov 2021', 'CIF (Baht)')","('Jan - Nov 2021', 'Quantity')","('Jan - Nov 2021', 'CIF (Baht)')"
BR,BRAZIL,0,0,2040,319519
CN,CHINA,1,300,79212,4810464
FR,FRANCE,0,0,19389,3108749
DE,GERMANY,700,134272,8726,1860116
IN,INDIA,7,1637,303110,11406275
IT,ITALY,500,130926,1025,257197
JP,JAPAN,79690,4962040,580520,33003111
KR,"KOREA,REPUBLIC OF",219370,10774045,2916655,136524637
MY,MALAYSIA,0,0,78386,4306415
NL,NETHERLANDS,0,0,2,21465
RU,RUSSIAN FEDERATION,0,0,8250,1402207
US,UNITED STATES,2703,381318,17682,2620401
SUM,SUM,302971,16384538,4014997,199640556
