"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'CIF (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'CIF (Baht)')"
BE,BELGIUM,0,0,72000,7315325
CN,CHINA,50,2097,3050,146256
JP,JAPAN,5600,1933337,31043,4916876
KR,"KOREA,REPUBLIC OF",110000,6492430,363888,24557725
QA,QATAR,0,0,330000,13702574
SG,SINGAPORE,993325,41131068,8340250,361869212
SE,SWEDEN,0,0,56000,5511362
AE,UNITED ARAB EMIRATES,49500,1955806,685200,31254769
GB,UNITED KINGDOM,500,155238,500,155238
US,UNITED STATES,454309,27103514,1409159,84029799
VN,VIETNAM,0,0,53,12243
SUM,SUM,1613284,78773490,11291143,533471379
