"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
BE,BELGIUM,45950,4540166,45950,4540166
CN,CHINA,304128,10252551,304128,10252551
HK,HONG KONG,21,3412,21,3412
IN,INDIA,5,761,5,761
IT,ITALY,8325,744354,8325,744354
JP,JAPAN,439810,49972315,439810,49972315
KR,"KOREA,REPUBLIC OF",1088744,126909836,1088744,126909836
MY,MALAYSIA,47070,2687208,47070,2687208
NL,NETHERLANDS,73250,7513841,73250,7513841
SA,SAUDI ARABIA,148500,17339905,148500,17339905
TW,"TAIWAN, PROVINCE OF CHINA",1339500,132034280,1339500,132034280
GB,UNITED KINGDOM,39500,5853635,39500,5853635
US,UNITED STATES,60493,4382647,60493,4382647
VN,VIETNAM,41675,1565743,41675,1565743
SUM,SUM,3636971,363800654,3636971,363800654
