"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,60000,3467847
CN,CHINA,10420,545590,414601,23388273
FR,FRANCE,0,0,22000,3335126
IT,ITALY,8250,1678397,22000,4225138
JP,JAPAN,30020,3084579,120645,12452646
KR,"KOREA,REPUBLIC OF",0,0,36000,2758821
LU,LUXEMBOURG,12000,800599,12000,800599
MY,MALAYSIA,0,0,2,651
NZ,NEW ZEALAND,0,0,3,2311
QA,QATAR,0,0,100,62100
SG,SINGAPORE,49500,1903366,758500,29098589
TW,"TAIWAN, PROVINCE OF CHINA",3300,124019,3301,124251
TH,THAILAND,0,0,52000,1426349
AE,UNITED ARAB EMIRATES,13000,536765,192400,8656004
US,UNITED STATES,21450,2978118,157250,21763915
SUM,SUM,147940,11651433,1850802,111562620
