"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'CIF (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2346699
CN,CHINA,25147,7663198,164427,24018723
FR,FRANCE,0,0,2200,416650
HK,HONG KONG,0,0,2449,220081
IN,INDIA,0,0,500,109911
IT,ITALY,35750,7915854,197975,41740472
JP,JAPAN,39775,5109758,215702,23263342
KR,"KOREA,REPUBLIC OF",26000,2138052,263800,20169325
SG,SINGAPORE,0,0,56000,4028108
SE,SWEDEN,0,0,7850,1311226
TW,"TAIWAN, PROVINCE OF CHINA",0,0,6100,852600
TH,THAILAND,3250,221240,3250,221240
AE,UNITED ARAB EMIRATES,24700,1281801,150800,7736157
US,UNITED STATES,52955,5029941,525692,44919481
VN,VIETNAM,100,5322,12300,719267
SUM,SUM,207677,29365166,1633045,172073282
