"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2015', 'Quantity')","('May 2015', 'CIF (Baht)')","('Jan - May 2015', 'Quantity')","('Jan - May 2015', 'CIF (Baht)')"
BE,BELGIUM,74316,3756192,222816,10518241
CN,CHINA,44000,3286846,476014,31977780
DE,GERMANY,0,0,200,8731
ID,INDONESIA,31000,2454781,99425,8152426
IL,ISRAEL,0,0,12066,1059075
JP,JAPAN,987650,52485050,2805744,153071372
KR,"KOREA,REPUBLIC OF",22000,1098502,270875,13750062
KW,KUWAIT,148500,6232624,717750,28462547
MY,MALAYSIA,1621625,67160782,8258910,354330742
NL,NETHERLANDS,24750,1288936,123750,6187684
QA,QATAR,255000,11357909,969000,40142419
SA,SAUDI ARABIA,2054250,87801615,10989000,450689974
SG,SINGAPORE,160250,7780773,912635,41929801
ES,SPAIN,24750,1313093,141750,8052440
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12000,1376940
TH,THAILAND,25,4101,25,4101
AE,UNITED ARAB EMIRATES,767250,33192347,2870800,116258162
US,UNITED STATES,215032,14389937,493741,36823672
VN,VIETNAM,0,0,29,3770
SUM,SUM,6430398,293603488,29376530,1302799939
