"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'CIF (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'CIF (Baht)')"
CN,CHINA,148800,12282555,148800,12282555
JP,JAPAN,47600,3439661,47600,3439661
KR,"KOREA,REPUBLIC OF",98000,6836879,98000,6836879
MY,MALAYSIA,10000,700269,10000,700269
SE,SWEDEN,40000,3878570,40000,3878570
TW,"TAIWAN, PROVINCE OF CHINA",11550,1136448,11550,1136448
AE,UNITED ARAB EMIRATES,111800,6125973,111800,6125973
US,UNITED STATES,47056,3736638,47056,3736638
VN,VIETNAM,72000,5184638,72000,5184638
SUM,SUM,586806,43321631,586806,43321631
