"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2021', 'Quantity')","('Nov 2021', 'CIF (Baht)')","('Jan - Nov 2021', 'Quantity')","('Jan - Nov 2021', 'CIF (Baht)')"
AR,ARGENTINA,0,0,700,70202
AU,AUSTRALIA,1,181,1068967,42953817
AT,AUSTRIA,0,0,48150,3922602
BE,BELGIUM,0,0,3250,155030
CN,CHINA,812757,51953988,14152319,751329004
FI,FINLAND,60,48620,60,48620
FR,FRANCE,180,37284,430,281322
DE,GERMANY,8000,970710,188296,19761874
HK,HONG KONG,0,0,3702,1145010
HU,HUNGARY,0,0,1,684
IN,INDIA,57226,1597387,1287188,41020317
ID,INDONESIA,16250,2222380,287496,27072966
IT,ITALY,0,0,11246,866377
JP,JAPAN,709001,55064024,7268207,506339355
KR,"KOREA,REPUBLIC OF",633319,34381231,9501489,449446457
LA,LAO PDR,0,0,25,3159
MY,MALAYSIA,30000,4250051,575015,67104845
MX,MEXICO,0,0,275,55158
NL,NETHERLANDS,0,63450,297035,24901666
NZ,NEW ZEALAND,0,0,6000,424576
OM,OMAN,0,0,4603850,177603856
PH,PHILIPPINES,0,0,25,4916
SA,SAUDI ARABIA,1244410,53359708,16348970,678174752
SG,SINGAPORE,339925,23588607,8198683,420608429
ZA,SOUTH AFRICA,0,0,544500,17554047
ES,SPAIN,0,0,50,35120
SE,SWEDEN,0,0,36,18910
TW,"TAIWAN, PROVINCE OF CHINA",96679,7807545,2013007,111613230
AE,UNITED ARAB EMIRATES,723250,30590669,8645014,351534937
GB,UNITED KINGDOM,0,0,20126,2961170
US,UNITED STATES,1361,201284,204567,8048963
UZ,UZBEKISTAN,1,755,1,755
VN,VIETNAM,24891,663229,89300,4329731
SUM,SUM,4697311,266801103,75367980,3709391857
