"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'CIF (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,52108,3075120
AT,AUSTRIA,0,0,3775,607170
BE,BELGIUM,271624,14379714,1625274,80723306
CA,CANADA,158,77147,347,188418
CN,CHINA,1379740,71555740,14950466,736388353
EG,EGYPT,0,0,50,18964
FI,FINLAND,23375,1442027,210375,12771293
FR,FRANCE,0,0,32250,1130923
DE,GERMANY,9338,2475692,82910,20242273
HK,HONG KONG,19,5813,24876,1025758
HU,HUNGARY,0,0,50,20767
IN,INDIA,341665,11915391,2778108,99455857
ID,INDONESIA,31750,4291516,196820,21393396
IR,IRAN (ISLAMIC REPUBLIC OF),750,71696,750,71696
IL,ISRAEL,0,0,103000,7319239
IT,ITALY,1000,87143,18131,2540058
JP,JAPAN,723337,57750962,7016726,469015124
KE,KENYA,0,0,70000,3554662
KR,"KOREA,REPUBLIC OF",2619313,116444926,17439738,826416933
MY,MALAYSIA,39101,4197136,980349,89808744
MX,MEXICO,0,0,317,219571
NL,NETHERLANDS,48125,4317656,455200,42837334
NZ,NEW ZEALAND,456,458132,1974,2117228
RO,ROMANIA,24,10374,24,10374
RU,RUSSIAN FEDERATION,0,0,180,91460
SA,SAUDI ARABIA,3020100,112035608,33691855,1301707553
SG,SINGAPORE,1648582,78158650,11273498,557465307
SK,SLOVAKIA,0,0,9700,566710
ZA,SOUTH AFRICA,49500,1753033,272250,10359936
ES,SPAIN,11000,959605,38500,3410379
CH,SWITZERLAND,0,0,20,6165
TW,"TAIWAN, PROVINCE OF CHINA",99300,4603451,505836,28042263
TH,THAILAND,28025,1332325,145000,8086901
TR,TÜRKIYE,0,0,310,53805
UA,UKRAINE,0,0,47050,1961097
AE,UNITED ARAB EMIRATES,283050,10438016,2459125,97569336
GB,UNITED KINGDOM,0,0,300,36885
US,UNITED STATES,64054,4466405,771932,53792168
VN,VIETNAM,269,168076,1065647,46645980
SUM,SUM,10693655,503396234,96324821,4530748506
