"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
BE,BELGIUM,36000,3683809,72000,7426319
CN,CHINA,22000,1637248,85000,6389867
DE,GERMANY,0,0,5125,1039749
IT,ITALY,0,0,2325,434610
JP,JAPAN,100,49614,10616,1102890
KR,"KOREA,REPUBLIC OF",0,0,46800,4319982
LU,LUXEMBOURG,0,0,2,1168
QA,QATAR,0,0,255000,11466849
SG,SINGAPORE,96000,6150845,605600,26142296
SE,SWEDEN,0,0,5600,805225
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,37449
AE,UNITED ARAB EMIRATES,164400,8316277,268400,13338484
US,UNITED STATES,46160,6355395,371960,34706462
SUM,SUM,364660,26193188,1728528,107211350
